Date,SHCOMP
2000-01-31,1534.997
2000-02-29,1714.578
2000-03-31,1800.225
2000-04-30,1836.321
2000-05-31,1894.554
2000-06-30,1928.106
2000-07-31,2023.539
2000-08-31,2021.199
2000-09-30,1910.161
2000-10-31,1961.287
2000-11-30,2070.613
2000-12-31,2073.477
2001-01-31,2065.606
2001-02-28,1959.18
2001-03-31,2112.775
2001-04-30,2119.184
2001-05-31,2214.257
2001-06-30,2218.029
2001-07-31,1920.32
2001-08-31,1834.138
2001-09-30,1764.867
2001-10-31,1689.17
2001-11-30,1747.993
2001-12-31,1645.971
2002-01-31,1491.665
2002-02-28,1524.701
2002-03-31,1603.905
2002-04-30,1667.749
2002-05-31,1515.733
2002-06-30,1732.755
2002-07-31,1651.594
2002-08-31,1666.618
2002-09-30,1581.618
2002-10-31,1507.496
2002-11-30,1434.182
2002-12-31,1357.654
2003-01-31,1499.815
2003-02-28,1511.932
2003-03-31,1510.578
2003-04-30,1521.444
2003-05-31,1576.261
2003-06-30,1486.024
2003-07-31,1476.742
2003-08-31,1421.983
2003-09-30,1367.161
2003-10-31,1348.303
2003-11-30,1397.225
2003-12-31,1497.044
2004-01-31,1590.729
2004-02-29,1675.067
2004-03-31,1741.623
2004-04-30,1595.587
2004-05-31,1555.906
2004-06-30,1399.162
2004-07-31,1386.202
2004-08-31,1342.062
2004-09-30,1396.7
2004-10-31,1320.536
2004-11-30,1340.771
2004-12-31,1266.496
2005-01-31,1191.823
2005-02-28,1306.003
2005-03-31,1181.236
2005-04-30,1159.146
2005-05-31,1060.738
2005-06-30,1080.938
2005-07-31,1083.033
2005-08-31,1162.798
2005-09-30,1155.614
2005-10-31,1092.817
2005-11-30,1099.261
2005-12-31,1161.057
2006-01-31,1258.046
2006-02-28,1299.03
2006-03-31,1298.295
2006-04-30,1440.223
2006-05-31,1641.3
2006-06-30,1672.211
2006-07-31,1612.733
2006-08-31,1658.638
2006-09-30,1752.424
2006-10-31,1837.993
2006-11-30,2099.289
2006-12-31,2675.474
2007-01-31,2786.335
2007-02-28,2881.073
2007-03-31,3183.983
2007-04-30,3841.272
2007-05-31,4109.654
2007-06-30,3820.703
2007-07-31,4471.032
2007-08-31,5218.825
2007-09-30,5552.301
2007-10-31,5954.765
2007-11-30,4871.778
2007-12-31,5261.563
2008-01-31,4383.393
2008-02-29,4348.543
2008-03-31,3472.713
2008-04-30,3693.106
2008-05-31,3433.354
2008-06-30,2736.103
2008-07-31,2775.717
2008-08-31,2397.369
2008-09-30,2293.784
2008-10-31,1728.786
2008-11-30,1871.156
2008-12-31,1820.805
2009-01-31,1990.657
2009-02-28,2082.852
2009-03-31,2373.213
2009-04-30,2477.569
2009-05-31,2632.93
2009-06-30,2959.362
2009-07-31,3412.062
2009-08-31,2667.745
2009-09-30,2779.426
2009-10-31,2995.848
2009-11-30,3195.301
2009-12-31,3277.139
2010-01-31,2989.292
2010-02-28,3051.943
2010-03-31,3109.105
2010-04-30,2870.611
2010-05-31,2592.147
2010-06-30,2398.37
2010-07-31,2637.503
2010-08-31,2638.798
2010-09-30,2655.658
2010-10-31,2978.835
2010-11-30,2820.181
2010-12-31,2808.077
2011-01-31,2790.694
2011-02-28,2905.053
2011-03-31,2928.111
2011-04-30,2911.511
2011-05-31,2743.472
2011-06-30,2762.076
2011-07-31,2701.729
2011-08-31,2567.34
2011-09-30,2359.22
2011-10-31,2468.25
2011-11-30,2333.414
2011-12-31,2199.417
2012-01-31,2292.61
2012-02-29,2428.487
2012-03-31,2262.788
2012-04-30,2396.316
2012-05-31,2372.234
2012-06-30,2225.431
2012-07-31,2103.634
2012-08-31,2047.522
2012-09-30,2086.169
2012-10-31,2068.88
2012-11-30,1980.117
2012-12-31,2269.128
2013-01-31,2385.422
2013-02-28,2365.593
2013-03-31,2236.621
2013-04-30,2177.912
2013-05-31,2300.595
2013-06-30,1979.206
2013-07-31,1993.799
2013-08-31,2098.382
2013-09-30,2174.665
2013-10-31,2141.614
2013-11-30,2220.504
2013-12-31,2115.978
2014-01-31,2033.083
2014-02-28,2056.302
2014-03-31,2033.306
2014-04-30,2026.358
2014-05-31,2039.212
2014-06-30,2048.327
2014-07-31,2201.562
2014-08-31,2217.2
2014-09-30,2363.87
2014-10-31,2420.178
2014-11-30,2682.835
2014-12-31,3234.677
2015-01-31,3210.363
2015-02-28,3310.303
2015-03-31,3747.899
2015-04-30,4441.655
2015-05-31,4611.744
2015-06-30,4277.2219
2015-07-31,3663.7256
2015-08-31,3205.9855
2015-09-30,3052.7814
2015-10-31,3382.5612
2015-11-30,3445.4048
2015-12-31,3539.182
2016-01-31,2737.6
2016-02-29,2687.979
2016-03-31,3003.915
2016-04-30,2938.324
2016-05-31,2916.616
2016-06-30,2929.606
2016-07-31,2979.339
2016-08-31,3085.491
2016-09-30,3004.703
2016-10-31,3100.492
2016-11-30,3250.034
2016-12-31,3103.6373
2017-01-31,3159.166
2017-02-28,3241.7331
2017-03-31,3222.5142
2017-04-30,3154.6584
2017-05-31,3117.1778
2017-06-30,3192.4269
2017-07-31,3273.0283
2017-08-31,3360.8103
2017-09-30,3348.9431
2017-10-31,3393.3417
2017-11-30,3317.1884
2017-12-31,3307.1721
2018-01-31,3480.8334
2018-02-28,3259.408
2018-03-31,3168.8966
2018-04-30,3082.2316
2018-05-31,3095.4737
2018-06-30,2847.4181
2018-07-31,2876.4009
2018-08-31,2725.2499
2018-09-30,2821.3501
2018-10-31,2602.7832
2018-11-30,2588.1875
2018-12-31,2493.8962
2019-01-31,2584.5724
2019-02-28,2940.9538
2019-03-31,3090.758
2019-04-30,3078.3389
2019-05-31,2898.6961
2019-06-30,2978.8784
2019-07-31,2932.5058
2019-08-31,2886.2365
2019-09-30,2905.1892
2019-10-31,2929.0561
2019-11-30,2871.9813
2019-12-31,3050.124
2020-01-31,2976.5281
2020-02-29,2880.3038
2020-03-31,2750.2962
2020-04-30,2860.0822
2020-05-31,2852.3512
2020-06-30,2984.6741
2020-07-31,3310.0065
2020-08-31,3395.6775
2020-09-30,3218.0521
2020-10-31,3224.5325
2020-11-30,3391.7551
2020-12-31,3473.0693
2021-01-31,3483.0692
2021-02-28,3509.0804
2021-03-31,3441.9115
2021-04-30,3446.8564
2021-05-31,3615.4773
2021-06-30,3591.197
2021-07-31,3397.3574
2021-08-31,3543.9402
2021-09-30,3568.1668
2021-10-31,3547.3361
2021-11-30,3563.8872
2021-12-31,3639.7754
2022-01-31,3361.4397
2022-02-28,3462.3064
2022-03-31,3252.2029
2022-04-30,3047.0624
2022-05-31,3186.4271
2022-06-30,3398.6161
2022-07-31,3253.2382
2022-08-31,3202.1378
2022-09-30,3024.3905
2022-10-31,2893.4829
2022-11-30,3151.3353
2022-12-31,3089.2579
2023-01-31,3255.6692
2023-02-28,3279.6053
2023-03-31,3272.8602
2023-04-30,3323.2746
2023-05-31,3204.5644
2023-06-30,3202.0623
2023-07-31,3205.5748
